CustomerID,Total_Orders,Total_Revenue,First_Purchase,Last_Purchase,Recency,F_score,M_score,R_score,RFM_Score,Segment,Days_Since_Last_Purchase,Churned
12346.0,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,325,1,5,5,515,One-Time Buyers,325,True
12347.0,7,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,1,4,5,1,145,Loyal Customers,1,False
12348.0,4,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,74,3,4,4,434,Regular,74,False
12349.0,1,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,18,1,4,2,214,At Risk,18,False
12350.0,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,309,1,2,5,512,One-Time Buyers,309,True
12352.0,8,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,35,4,5,3,345,Loyal Customers,35,False
12353.0,1,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,203,1,1,5,511,One-Time Buyers,203,True
12354.0,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,231,1,4,5,514,One-Time Buyers,231,True
12355.0,1,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,213,1,2,5,512,One-Time Buyers,213,True
12356.0,3,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,22,2,5,2,225,At Risk,22,False
12357.0,1,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,32,1,5,2,215,At Risk,32,False
12358.0,2,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,1,1,4,1,114,At Risk,1,False
12359.0,4,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,57,3,5,3,335,Regular,57,False
12360.0,3,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,51,2,5,3,325,Regular,51,False
12361.0,1,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,286,1,1,5,511,One-Time Buyers,286,True
12362.0,10,5226.23,2011-02-17 10:30:00,2011-12-06 15:40:00,2,4,5,1,145,Loyal Customers,2,False
12363.0,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,109,1,3,4,413,One-Time Buyers,109,True
12364.0,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,7,3,4,1,134,At Risk,7,False
12365.0,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,290,1,3,5,513,One-Time Buyers,290,True
12367.0,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,3,1,1,1,111,At Risk,3,False
12370.0,4,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,50,3,5,3,335,Regular,50,False
12371.0,2,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,44,1,4,3,314,One-Time Buyers,44,False
12372.0,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,71,2,4,3,324,Regular,71,False
12373.0,1,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,310,1,2,5,512,One-Time Buyers,310,True
12374.0,1,742.9300000000001,2011-11-14 15:37:00,2011-11-14 15:37:00,24,1,3,2,213,At Risk,24,False
12375.0,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,10,1,2,1,112,At Risk,10,False
12377.0,2,1628.12,2010-12-20 09:37:00,2011-01-28 15:45:00,314,1,4,5,514,One-Time Buyers,314,True
12378.0,1,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,129,1,5,4,415,One-Time Buyers,129,True
12379.0,2,852.24,2011-06-22 16:32:00,2011-09-19 10:09:00,81,1,3,4,413,One-Time Buyers,81,False
12380.0,4,2724.81,2011-06-07 09:49:00,2011-11-18 11:27:00,21,3,5,2,235,At Risk,21,False
12381.0,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,4,3,4,1,134,At Risk,4,False
12383.0,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,184,3,4,5,534,Regular,184,True
12384.0,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,28,1,3,2,213,At Risk,28,False
12386.0,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,337,1,2,5,512,One-Time Buyers,337,True
12388.0,6,2780.66,2011-01-17 11:12:00,2011-11-24 12:30:00,15,3,5,2,235,At Risk,15,False
12390.0,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,79,1,3,4,413,One-Time Buyers,79,False
12391.0,1,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,21,1,2,2,212,At Risk,21,False
12393.0,4,1582.6000000000001,2011-01-11 09:47:00,2011-09-28 15:41:00,71,3,4,3,334,Regular,71,False
12394.0,2,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,63,1,4,3,314,One-Time Buyers,63,False
12395.0,12,3018.63,2010-12-03 16:35:00,2011-11-20 15:21:00,18,4,5,2,245,Loyal Customers,18,False
12397.0,2,2409.9,2011-07-27 14:21:00,2011-11-04 09:52:00,35,1,5,3,315,One-Time Buyers,35,False
12398.0,1,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,45,1,4,3,314,One-Time Buyers,45,False
12399.0,4,1108.65,2011-03-23 09:42:00,2011-08-12 13:15:00,118,3,4,4,434,Regular,118,True
12401.0,1,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,302,1,1,5,511,One-Time Buyers,302,True
12402.0,1,225.6,2011-01-20 13:49:00,2011-01-20 13:49:00,322,1,1,5,511,One-Time Buyers,322,True
